City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
camopi,3.17,-52.33,72.99,99,92,2.33
tarauaca,-8.16,-70.77,71.64,93,32,2.51
ilulissat,69.22,-51.1,-0.41,77,76,3.36
nipawin,53.36,-104.02,8.6,60,1,12.75
itapuranga,-15.56,-49.95,75.73,70,64,2.73
popondetta,-8.77,148.24,84.15,57,24,2.39
bechem,7.09,-2.02,77.94,63,0,9.78
kyakhta,50.35,106.45,8.37,75,20,3.85
clarksdale,34.2,-90.57,44.6,93,90,9.17
manicore,-5.81,-61.3,73.66,97,44,2.1
moosomin,50.14,-101.67,9.94,77,24,11.83
sheregesh,52.93,87.98,-4.42,63,0,2.33
erechim,-27.64,-52.27,67.99,85,44,6.58
aberdeen,46.98,-123.82,46.4,100,90,9.17
ruidoso,33.33,-105.67,48.2,100,75,6.93
kosh-agach,49.99,88.66,-7.84,72,8,3.4
nenjiang,49.17,125.23,5.85,72,0,10.27
pontianak,-0.02,109.34,84.2,66,20,4.23
rawlins,41.79,-107.24,23,79,20,26.4
iqaluit,63.75,-68.52,-9.41,39,90,11.41
susegana,45.85,12.25,35.6,74,8,3.36
herat,34.35,62.22,35.6,69,40,2.24
tambo,-12.95,-74.02,47.56,91,0,1.05
pailon,-17.66,-62.72,71.6,94,75,3.36
novopskov,49.54,39.1,24.66,94,88,7.81
tasiilaq,65.61,-37.64,28.4,74,0,4.7
mandan,46.83,-100.89,26.6,73,90,13.87
ransang,8.96,117.58,80.32,95,24,2.77
ozinki,51.2,49.73,1.62,82,88,7.65
nalut,31.86,10.98,41.71,92,76,2.84
pangnirtung,66.15,-65.72,-31.24,52,0,4.07
petauke,-14.25,31.33,66.37,92,20,5.79
saryozek,44.36,77.98,16.33,79,80,2.55
bumba,2.18,22.47,70.92,97,76,3.29
yerbogachen,61.28,108.01,-6.08,70,64,3.78
phonhong,18.5,102.42,84.2,48,20,6.93
yellowknife,62.45,-114.38,1.4,70,90,21.92
cordoba,-27.78,-67.24,58.36,89,44,1.28
aksarka,66.56,67.8,-1.58,59,0,5.86
kachug,53.96,105.89,-1.09,73,56,5.86
clyde river,70.47,-68.59,-34.61,59,1,8.05
salon,26.03,81.45,62.23,86,0,8.66
vao,-22.67,167.48,78.12,100,92,34.43
jumilla,38.47,-1.33,41,100,90,3.36
quelimane,-17.88,36.89,78.3,85,8,8.37
hashtrud,37.48,47.05,32.85,100,92,3.22
korla,41.76,86.15,19.71,87,68,2.28
ipira,-27.41,-51.77,67.5,89,24,10.6
pozo colorado,-23.49,-58.8,79.78,84,88,6.02
songjianghe,42.18,127.48,6.34,67,44,7.09
tarabuco,-19.18,-64.92,53.59,96,100,1.77
jaroslaw,50.02,22.68,26.6,92,88,5.82
anadyr,64.73,177.51,32,96,90,20.13
ust-nera,64.57,143.24,-16.48,64,12,2.55
guangyuan,32.43,105.86,43.51,100,92,3
ilulissat,69.22,-51.1,-0.41,77,76,3.36
bardiyah,31.76,25.09,57.64,100,88,17.38
adrar,27.87,-0.29,55.4,22,88,10.29
baoro,5.69,15.95,72.72,69,12,6.42
buenaventura,3.89,-77.07,69.34,99,92,2.33
san francisco,1.17,-76.88,58.63,100,92,0.54
minatitlan,19.39,-104.05,69.8,94,5,11.41
thompson,55.74,-97.86,-0.41,64,75,8.05
tete,-16.16,33.59,73.35,92,64,3.11
halifax,44.65,-63.58,33.8,100,90,16.11
boende,-0.28,20.88,70.11,100,92,3.06
garowe,8.41,48.48,62.14,90,0,6.8
sioux lookout,50.1,-91.92,14,71,75,4.7
kathmandu,27.71,85.32,57.2,82,40,2.55
saskylakh,71.97,114.09,-18.1,53,56,3.33
posse,-14.08,-46.36,75.96,59,0,13.18
kovdor,67.56,30.47,21.6,81,76,3.33
la ronge,55.1,-105.3,3.2,59,5,13.87
barbacena,-21.23,-43.77,65.29,87,32,9.04
santimbru,46.13,23.65,33.8,86,90,2.24
